Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
304,Tanner Hudson,CIN,TE,31,9,1,0,0,0,0,0,0,0,,0,13,11,92,8.36,1,0,0,1,,,15.0,26.2,26.2,20.7,,58,,2025
305,Adam Trautman,DEN,TE,28,11,8,0,0,0,0,0,0,0,,0,12,11,93,8.45,1,0,0,1,,,15.0,26.3,26.3,20.8,,57,,2025
306,Devaughn Vele,NOR,WR,28,10,5,0,0,0,0,0,0,0,,0,20,9,91,10.11,1,0,0,1,,,15.0,24.1,24.1,19.6,,125,,2025
307,Savion Williams,GNB,WR,24,11,0,0,0,0,0,0,9,28,3.11,0,10,10,78,7.8,1,1,1,1,,,15.0,24.6,25.6,19.6,,127,,2025
308,Elijah Higgins,ARI,TE,25,11,5,0,0,0,0,0,0,0,,0,20,16,162,10.13,0,1,1,0,,,14.0,30.2,34.2,22.2,,59,,2025
309,Terrell Jennings,NWE,RB,24,6,0,0,0,0,0,0,23,73,3.17,1,1,1,9,9.0,0,0,0,1,,,14.0,15.2,15.2,14.7,,77,,2025
310,Kameron Johnson,TAM,WR,23,11,0,0,0,0,0,0,2,13,6.5,0,6,4,64,16.0,1,0,0,1,,,14.0,17.7,17.7,15.7,,130,,2025
311,Hunter Luepke,DAL,RB,25,11,2,0,0,0,0,0,3,13,4.33,0,9,8,63,7.88,1,0,0,1,,,14.0,21.6,21.6,17.6,,78,,2025
312,Gunner Olszewski,NYG,WR,29,12,0,1,1,33,1,0,0,0,,0,3,1,24,24.0,1,0,0,1,,,14.0,14.7,14.7,14.2,,129,,2025
313,Curtis Samuel,BUF,WR,29,6,0,0,0,0,0,0,0,0,,0,9,7,81,11.57,1,0,0,1,,,14.0,21.1,21.1,17.6,,128,,2025
314,Ameer Abdullah,IND,RB,32,7,0,0,0,0,0,0,8,40,5.0,1,6,5,30,6.0,0,0,0,1,,,13.0,18.0,18.0,15.5,,80,,2025
315,Braelon Allen,NYJ,RB,21,4,0,0,0,0,0,0,18,76,4.22,1,3,2,17,8.5,0,1,1,1,,,13.0,15.3,16.3,14.3,,79,,2025
316,Noah Gray,KAN,TE,26,11,5,0,0,0,0,0,0,0,,0,28,16,132,8.25,0,0,0,0,,,13.0,29.2,32.2,21.2,,60,,2025
317,George Holani,SEA,RB,26,11,0,0,0,0,0,0,22,73,3.32,1,2,2,15,7.5,0,1,1,1,,,13.0,14.8,15.8,13.8,,81,,2025
318,Isaiah Likely,BAL,TE,25,8,5,0,0,0,0,0,0,0,,0,19,13,128,9.85,0,1,0,0,,,13.0,25.8,28.8,19.3,,61,,2025
319,Devin Neal,NOR,RB,22,7,0,0,0,0,0,0,17,61,3.59,0,14,12,64,5.33,0,0,0,0,,,13.0,24.5,24.5,18.5,,82,,2025
320,Brycen Tremayne,CAR,WR,26,11,1,0,0,0,0,0,0,0,,0,15,12,133,11.08,0,1,0,0,,,13.0,25.3,28.3,19.3,,131,,2025
321,Jimmy Horn,CAR,WR,23,8,0,0,0,0,0,0,7,44,6.29,0,11,7,77,11.0,0,0,0,0,,,12.0,19.1,19.1,15.6,,132,,2025
322,Luke Musgrave,GNB,TE,25,11,6,0,0,0,0,0,0,0,,0,17,14,117,8.36,0,1,0,0,,,12.0,25.7,28.7,18.7,,62,,2025
323,Josh Reynolds,NYJ,WR,30,5,3,0,0,0,0,0,0,0,,0,21,11,101,9.18,0,0,0,0,1.0,,12.0,23.1,26.1,17.6,,133,,2025
324,Shedeur Sanders,CLE,QB,23,2,1,15,36,256,1,2,4,15,3.75,0,0,0,0,,0,1,0,0,,,12.0,11.7,13.7,13.7,,47,,2025
325,Ben Skowronek,PIT,WR,28,11,3,0,0,0,0,0,0,0,,0,4,3,56,18.67,1,0,0,1,,,12.0,14.6,14.6,13.1,,135,,2025
326,Cody White,SEA,WR,27,5,0,0,0,0,0,0,0,0,,0,2,1,60,60.0,1,0,0,1,,,12.0,13.0,13.0,12.5,,134,,2025
327,Nate Adkins,DEN,TE,26,6,3,0,0,0,0,0,0,0,,0,10,6,48,8.0,1,0,0,1,,,11.0,16.8,16.8,13.8,,64,,2025
328,LeQuint Allen,JAX,RB,21,11,0,0,0,0,0,0,14,70,5.0,0,8,7,41,5.86,0,0,0,0,,,11.0,18.1,18.1,14.6,,83,,2025
329,Julian Hill,MIA,TE,25,8,8,0,0,0,0,0,0,0,,0,14,11,91,8.27,0,0,0,0,1.0,,11.0,22.1,22.1,16.6,,63,,2025
330,Allen Lazard,NYJ,WR,30,7,2,0,0,0,0,0,0,0,,0,14,8,54,6.75,1,0,0,1,,,11.0,19.4,19.4,15.4,,136,,2025
331,Jayden Reed,GNB,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,45,15.0,1,0,0,1,,,11.0,13.5,13.5,12.0,,141,,2025
332,David Sills V,ATL,WR,29,11,1,0,0,0,0,0,0,0,,0,12,6,50,8.33,1,0,0,1,,,11.0,17.0,17.0,14.0,,138,,2025
333,Dont'e Thornton,LVR,WR,23,10,6,0,0,0,0,0,0,0,,0,23,7,112,16.0,0,0,0,0,,,11.0,18.2,21.2,14.7,,137,,2025
334,Jamari Thrash,CLE,WR,25,9,1,0,0,0,0,0,0,0,,0,15,10,107,10.7,0,0,0,0,,,11.0,20.7,23.7,15.7,,139,,2025
335,Tylan Wallace,BAL,WR,26,11,2,0,0,0,0,0,0,0,,0,8,4,45,11.25,1,0,0,1,,,11.0,14.5,14.5,12.5,,142,,2025
336,Isaiah Williams,NYJ,WR,24,9,0,0,1,0,0,0,2,29,14.5,0,9,5,37,7.4,0,1,1,1,,,11.0,15.6,16.6,13.1,,140,,2025
337,Tyler Badie,DEN,RB,25,10,0,0,0,0,0,0,2,9,4.5,0,19,11,87,7.91,0,0,0,0,,,10.0,20.6,20.6,15.1,,85,,2025
338,Brittain Brown,CHI,RB,28,2,0,0,0,0,0,0,5,37,7.4,1,1,0,0,,0,0,0,1,,,10.0,9.7,9.7,9.7,,84,,2025
339,Tyler Conklin,LAC,TE,30,11,5,0,0,0,0,0,1,2,2.0,0,9,6,95,15.83,0,1,0,0,,,10.0,15.7,15.7,12.7,,66,,2025
340,Malachi Corley,CLE,WR,23,7,2,0,0,0,0,0,5,68,13.6,0,6,5,34,6.8,0,0,0,0,,,10.0,15.2,15.2,12.7,,143,,2025
341,Andy Dalton,CAR,QB,38,4,1,25,37,293,1,1,5,-2,-0.4,0,0,0,0,,0,2,2,0,,,10.0,9.5,12.5,10.5,,48,,2025
342,John FitzPatrick,GNB,TE,25,11,2,0,0,0,0,0,0,0,,0,7,7,40,5.71,1,0,0,1,,,10.0,17.0,17.0,13.5,,65,,2025
343,Mike Gesicki,CIN,TE,30,7,1,0,0,0,0,0,0,0,,0,22,12,96,8.0,0,0,0,0,,,10.0,21.6,21.6,15.6,,67,,2025
344,Konata Mumpfield,LAR,WR,23,11,0,0,0,0,0,0,0,0,,0,7,4,37,9.25,1,0,0,1,,,10.0,13.7,13.7,11.7,,144,,2025
345,Johnny Mundt,JAX,TE,31,11,6,0,0,0,0,0,0,0,,0,17,8,95,11.88,0,0,0,0,,,10.0,17.5,17.5,13.5,,68,,2025
346,Jack Stoll,NOR,TE,27,10,2,0,0,0,0,0,0,0,,0,7,4,35,8.75,1,0,0,1,,,10.0,13.5,13.5,11.5,,69,,2025
347,Jack Bech,LVR,WR,23,11,2,0,0,0,0,0,0,0,,0,12,8,92,11.5,0,0,0,0,,,9.0,17.2,17.2,13.2,,147,,2025
348,Andrew Beck,NYJ,FB,29,11,0,0,0,0,0,0,0,0,,0,5,4,26,6.5,1,0,0,1,,,9.0,12.6,12.6,10.6,,87,,2025
349,Chris Brooks,GNB,RB,25,11,0,0,0,0,0,0,11,31,2.82,0,10,8,59,7.38,0,0,0,0,,,9.0,17.0,17.0,13.0,,86,,2025
350,Tanner Conner,MIA,TE,27,9,0,0,0,0,0,0,0,0,,0,15,9,91,10.11,0,0,0,0,,,9.0,18.1,18.1,13.6,,71,,2025
351,Greg Dulcich,MIA,TE,25,4,1,0,0,0,0,0,0,0,,0,13,8,89,11.13,0,0,0,0,,,9.0,16.9,16.9,12.9,,72,,2025
352,Najee Harris,LAC,RB,27,3,0,0,0,0,0,0,15,61,4.07,0,3,3,25,8.33,0,0,0,0,,,9.0,11.6,11.6,10.1,,88,,2025
353,Malik Heath,GNB,WR,25,10,0,0,0,0,0,0,0,0,,0,6,6,86,14.33,0,0,0,0,,,9.0,14.6,14.6,11.6,,150,,2025
354,Connor Heyward,PIT,TE,26,11,1,0,0,0,0,0,5,9,1.8,0,3,2,18,9.0,1,0,0,1,,,9.0,10.7,10.7,9.7,,74,,2025
355,Ryan Miller,TAM,WR,25,11,3,0,0,0,0,0,0,0,,0,4,2,34,17.0,1,0,0,1,,,9.0,11.4,11.4,10.4,,145,,2025
356,Ben Sinnott,WAS,TE,23,10,3,0,0,0,0,0,0,0,,0,3,3,33,11.0,1,0,0,1,,,9.0,12.3,12.3,10.8,,70,,2025
357,Xavier Smith,LAR,WR,28,10,1,0,0,0,0,0,0,0,,0,10,7,85,12.14,0,0,0,0,,,9.0,15.5,15.5,12.0,,151,,2025
358,Adam Thielen,MIN,WR,35,11,4,0,0,0,0,0,0,0,,0,18,8,69,8.63,0,0,0,0,1.0,,9.0,16.9,16.9,12.9,,148,,2025
359,Ian Thomas,LVR,TE,29,11,6,0,0,0,0,0,0,0,,0,10,10,89,8.9,0,0,0,0,,,9.0,18.9,18.9,13.9,,73,,2025
360,Casey Washington,ATL,WR,24,7,2,0,0,0,0,0,0,0,,0,14,6,94,15.67,0,0,0,0,,,9.0,15.4,15.4,12.4,,146,,2025
361,Nick Westbrook-Ikhine,MIA,WR,28,11,3,0,0,0,0,0,0,0,,0,19,11,89,8.09,0,0,0,0,,,9.0,19.9,19.9,14.4,,149,,2025
362,Austin Ekeler,WAS,RB,30,2,2,0,0,0,0,0,14,43,3.07,0,7,5,38,7.6,0,0,0,0,,,8.0,13.1,13.1,10.6,,90,,2025
363,Trevor Etienne,CAR,RB,21,12,0,0,0,0,0,0,20,94,4.7,0,2,2,9,4.5,0,2,1,0,,,8.0,10.3,11.3,9.3,,89,,2025
364,Jaret Patterson,LAC,RB,26,3,0,0,0,0,0,0,21,75,3.57,0,0,0,0,,0,0,0,0,,,8.0,7.5,7.5,7.5,,91,,2025
365,Drew Sample,CIN,TE,29,11,9,0,0,0,0,0,0,0,,0,10,6,24,4.0,1,0,0,1,,,8.0,14.4,14.4,11.4,,75,,2025
366,Brevyn Spann-Ford,DAL,TE,26,11,4,0,0,0,0,0,0,0,,0,6,5,22,4.4,1,0,0,1,,,8.0,13.2,13.2,10.7,,76,,2025
367,Cam Akers,MIN,RB,26,3,0,1,1,32,1,0,5,19,3.8,0,1,0,0,,0,0,0,0,,,7.0,7.2,7.2,7.2,,94,,2025
368,Jaydon Blue,DAL,RB,21,4,0,0,0,0,0,0,22,65,2.95,0,1,1,5,5.0,0,1,0,0,,,7.0,8.0,8.0,7.5,,95,,2025
369,Treylon Burks,WAS,WR,25,2,0,0,0,0,0,0,0,0,,0,4,4,72,18.0,0,0,0,0,,,7.0,11.2,11.2,9.2,,152,,2025
370,DJ Giddens,IND,RB,22,7,0,0,0,0,0,0,18,66,3.67,0,2,0,0,,0,0,0,0,,,7.0,6.6,6.6,6.6,,97,,2025
371,Kaleb Johnson,PIT,RB,22,7,0,0,0,0,0,0,22,58,2.64,0,2,1,9,9.0,0,1,0,0,,,7.0,7.7,7.7,7.2,,96,,2025
372,Ray-Ray McCloud,2TM,WR,29,6,2,0,0,0,0,0,0,0,,0,15,7,69,9.86,0,0,0,0,,,7.0,13.9,13.9,10.4,,153,,2025
373,Jaleel McLaughlin,DEN,RB,25,2,0,0,0,0,0,0,7,19,2.71,1,2,1,-5,-5.0,0,0,0,1,,,7.0,8.4,8.4,7.9,,92,,2025
374,Skyy Moore,SFO,WR,25,12,0,0,0,0,0,0,1,1,1.0,0,6,4,64,16.0,0,1,0,0,,,7.0,10.5,10.5,8.5,,154,,2025
375,Andrew Ogletree,IND,TE,27,11,3,0,0,0,0,0,0,0,,0,3,2,8,4.0,1,0,0,1,,,7.0,8.8,8.8,7.8,,77,,2025
376,Will Shipley,PHI,RB,23,9,0,0,0,0,0,0,11,45,4.09,0,6,4,28,7.0,0,0,0,0,,,7.0,11.3,11.3,9.3,,93,,2025
377,Mo Alie-Cox,IND,TE,32,11,5,0,0,0,0,0,0,0,,0,9,5,59,11.8,0,0,0,0,,,6.0,10.9,10.9,8.4,,82,,2025
378,John Bates,WAS,TE,28,9,7,0,0,0,0,0,0,0,,0,10,6,62,10.33,0,0,0,0,,,6.0,12.2,12.2,9.2,,80,,2025
379,Gabriel Davis,BUF,WR,26,2,2,0,0,0,0,0,0,0,,0,6,4,62,15.5,0,0,0,0,,,6.0,10.2,10.2,8.2,,155,,2025
380,AJ Dillon,PHI,RB,27,6,0,0,0,0,0,0,12,60,5.0,0,2,2,18,9.0,0,1,1,0,,,6.0,7.8,8.8,6.8,,100,,2025
381,Chris Godwin,TAM,WR,29,3,2,0,0,0,0,0,0,0,,0,18,8,61,7.63,0,0,0,0,,,6.0,14.1,14.1,10.1,,156,,2025
382,Lil'Jordan Humphrey,2TM,WR,27,4,2,0,0,0,0,0,0,0,,0,10,4,55,13.75,0,0,0,0,,,6.0,9.5,9.5,7.5,,159,,2025
383,Charlie Jones,CIN,WR,27,11,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,1,,,6.0,6.0,6.0,6.0,,157,,2025
384,David Martin-Robinson,TEN,TE,26,11,3,0,0,0,0,0,0,0,,0,1,1,1,1.0,1,0,0,1,,,6.0,7.1,7.1,6.6,,81,,2025
385,Joe Milton,DAL,QB,25,2,0,6,9,99,1,1,0,0,,0,0,0,0,,0,0,0,0,,,6.0,6.0,7.0,7.0,,50,,2025
386,Kene Nwangwu,NYJ,RB,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,1,,,6.0,6.0,6.0,6.0,,99,,2025
387,Raheim Sanders,CLE,RB,23,1,0,0,0,0,0,0,3,3,1.0,1,0,0,0,,0,0,0,1,,,6.0,6.3,6.3,6.3,,98,,2025
388,Luke Schoonmaker,DAL,TE,27,11,4,0,0,0,0,0,0,0,,0,16,8,63,7.88,0,0,0,0,,,6.0,14.3,14.3,10.3,,78,,2025
389,Arian Smith,NYJ,WR,24,11,5,0,0,0,0,0,3,11,3.67,0,10,6,47,7.83,0,0,0,0,,,6.0,11.8,11.8,8.8,,158,,2025
390,Josh Whyle,GNB,TE,26,3,1,0,0,0,0,0,0,0,,0,2,2,3,1.5,1,0,0,1,,,6.0,8.3,8.3,7.3,,79,,2025
391,Malik Willis,GNB,QB,26,2,0,3,3,13,1,0,3,19,6.33,0,0,0,0,,0,0,0,0,,,6.0,6.4,6.4,6.4,,49,,2025
392,Robbie Chosen,WAS,WR,32,3,0,0,0,0,0,0,0,0,,0,9,5,53,10.6,0,0,0,0,,,5.0,10.3,10.3,7.8,,160,,2025
393,Grant Calcaterra,PHI,TE,27,9,4,0,0,0,0,0,0,0,,0,8,5,48,9.6,0,0,0,0,,,5.0,9.8,9.8,7.3,,83,,2025
394,Malik Davis,DAL,RB,27,5,0,0,0,0,0,0,10,50,5.0,0,0,0,0,,0,0,0,0,,,5.0,5.0,5.0,5.0,,101,,2025
395,Alec Ingold,MIA,FB,29,11,7,0,0,0,0,0,2,9,4.5,0,7,5,36,7.2,0,0,0,0,,,5.0,9.5,9.5,7.0,,104,,2025
396,Bo Melton,GNB,WR,26,10,0,0,0,0,0,0,2,20,10.0,0,5,2,28,14.0,0,0,0,0,,,5.0,6.8,6.8,5.8,,161,,2025
397,Adam Prentice,DEN,FB,28,11,1,0,0,0,0,0,4,17,4.25,0,5,3,31,10.33,0,0,0,0,,,5.0,7.8,7.8,6.3,,103,,2025
398,Austin Trammell,JAX,WR,27,4,0,0,0,0,0,0,0,0,,0,6,3,46,15.33,0,0,0,0,,,5.0,7.6,7.6,6.1,,163,,2025
399,Jaylen Wright,MIA,RB,22,4,0,0,0,0,0,0,15,49,3.27,0,1,1,0,0.0,0,0,0,0,,,5.0,5.9,5.9,5.4,,102,,2025
400,Dareke Young,SEA,WR,26,6,0,0,0,0,0,0,0,0,,0,2,2,48,24.0,0,0,0,0,,,5.0,6.8,6.8,5.8,,162,,2025
401,Braxton Berrios,HOU,WR,30,4,0,0,0,0,0,0,0,0,,0,8,6,37,6.17,0,0,0,0,,,4.0,9.7,9.7,6.7,,167,,2025
402,Noah Brown,WAS,WR,29,2,2,0,0,0,0,0,0,0,,0,7,3,36,12.0,0,0,0,0,,,4.0,6.6,6.6,5.1,,168,,2025
403,Nathan Carter,ATL,RB,23,4,0,0,0,0,0,0,9,60,6.67,0,0,0,0,,0,1,1,0,,,4.0,4.0,5.0,4.0,,107,,2025
404,Julius Chestnut,TEN,RB,25,11,0,0,0,0,0,0,10,39,3.9,0,2,0,0,,0,0,0,0,,,4.0,3.9,3.9,3.9,,108,,2025
405,Will Dissly,LAC,TE,29,4,1,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4.0,8.3,8.3,6.3,,84,,2025
406,D'Wayne Eskridge,MIA,WR,28,9,0,0,0,0,0,0,0,0,,0,7,4,62,15.5,0,1,1,0,,,4.0,8.2,9.2,6.2,,164,,2025
407,Hassan Haskins,LAC,RB,26,7,0,0,0,0,0,0,12,30,2.5,0,4,4,13,3.25,0,0,0,0,,,4.0,8.3,8.3,6.3,,106,,2025
408,Jalin Hyatt,NYG,WR,24,7,0,0,0,0,0,0,0,0,,0,13,5,35,7.0,0,0,0,0,,,4.0,8.5,8.5,6.0,,169,,2025
409,Trey Lance,LAC,QB,25,2,0,6,12,81,0,0,4,12,3.0,0,0,0,0,,0,0,0,0,,,4.0,4.4,4.4,4.4,,51,,2025
410,Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,6,5,36,7.2,0,0,0,0,,,4.0,8.6,8.6,6.1,,85,,2025
411,James Proche,TEN,WR,29,3,0,0,0,0,0,0,0,0,,0,3,3,42,14.0,0,0,0,0,,,4.0,7.2,7.2,5.7,,165,,2025
412,Marquez Valdes-Scantling,SFO,WR,31,5,0,0,0,0,0,0,0,0,,0,8,4,40,10.0,0,0,0,0,,,4.0,8.0,8.0,6.0,,166,,2025
413,Zamir White,LVR,RB,26,4,0,0,0,0,0,0,10,25,2.5,0,5,3,19,6.33,0,0,0,0,,,4.0,7.4,7.4,5.9,,105,,2025
414,Tyson Bagent,CHI,QB,25,3,0,3,4,47,0,0,2,7,3.5,0,0,0,0,,0,1,0,0,,,3.0,2.6,2.6,2.6,,53,,2025
415,Teddy Bridgewater,TAM,QB,33,4,0,8,15,62,0,0,3,4,1.33,0,0,0,0,,0,0,0,0,,,3.0,2.9,2.9,2.9,,52,,2025
416,Tahj Brooks,CIN,RB,23,11,0,0,0,0,0,0,9,28,3.11,0,1,0,0,,0,0,0,0,,,3.0,2.8,2.8,2.8,,110,,2025
417,Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,,0,6,2,25,12.5,0,0,0,0,,,3.0,4.5,4.5,3.5,,176,,2025
418,KhaDarel Hodge,ATL,WR,30,10,1,0,0,0,0,0,0,0,,0,10,3,31,10.33,0,0,0,0,,,3.0,6.1,6.1,4.6,,172,,2025
419,Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,25,25.0,0,0,0,0,,,3.0,3.5,3.5,3.0,,177,,2025
420,Gage Larvadain,CLE,WR,23,7,0,0,0,0,0,0,1,3,3.0,0,6,2,22,11.0,0,0,0,0,,,3.0,4.5,4.5,3.5,,178,,2025
421,James Mitchell,CAR,TE,26,3,0,0,0,0,0,0,0,0,,0,3,3,28,9.33,0,0,0,0,,,3.0,5.8,5.8,4.3,,87,,2025
422,Foster Moreau,NOR,TE,28,7,5,0,0,0,0,0,0,0,,0,6,3,25,8.33,0,0,0,0,,,3.0,5.5,5.5,4.0,,88,,2025
423,Dare Ogunbowale,HOU,RB,31,11,0,0,0,0,0,0,3,18,6.0,0,6,5,36,7.2,0,1,1,0,,,3.0,8.4,9.4,5.9,,109,,2025
424,Dameon Pierce,HOU,RB,25,4,0,0,0,0,0,0,10,26,2.6,0,1,0,0,,0,0,0,0,,,3.0,2.6,2.6,2.6,,111,,2025
425,Nikko Remigio,KAN,WR,26,11,0,0,0,0,0,0,1,11,11.0,0,1,1,21,21.0,0,1,0,0,,,3.0,4.2,4.2,3.7,,171,,2025
426,Xavier Restrepo,TEN,WR,23,1,0,0,0,0,0,0,0,0,,0,6,2,26,13.0,0,0,0,0,,,3.0,4.6,4.6,3.6,,174,,2025
427,Mason Tipton,NOR,WR,25,10,1,0,0,0,0,0,1,11,11.0,0,6,3,22,7.33,0,0,0,0,,,3.0,6.3,6.3,4.8,,170,,2025
428,Jordan Watkins,SFO,WR,23,3,0,0,0,0,0,0,0,0,,0,3,2,26,13.0,0,0,0,0,,,3.0,4.6,4.6,3.6,,175,,2025
429,Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,30,10.0,0,0,0,0,,,3.0,6.0,6.0,4.5,,173,,2025
430,Charlie Woerner,ATL,TE,28,11,8,0,0,0,0,0,0,0,,0,6,5,33,6.6,0,0,0,0,,,3.0,8.3,8.3,5.8,,86,,2025
431,Rasheen Ali,BAL,RB,24,9,0,0,0,0,0,0,1,5,5.0,0,1,1,15,15.0,0,0,0,0,,,2.0,3.0,3.0,2.5,,114,,2025
432,Brenden Bates,2TM,TE,26,5,1,0,0,0,0,0,0,0,,0,2,2,23,11.5,0,0,0,0,,,2.0,4.3,4.3,3.3,,89,,2025
433,Jake Bobo,SEA,WR,27,7,0,0,0,0,0,0,0,0,,0,2,2,20,10.0,0,0,0,0,,,2.0,4.0,4.0,3.0,,182,,2025
434,British Brooks,HOU,RB,26,9,2,0,0,0,0,0,4,15,3.75,0,0,0,0,,0,0,0,0,,,2.0,1.5,1.5,1.5,,118,,2025
435,Max Brosmer,MIN,QB,24,3,0,5,8,42,0,0,1,-1,-1.0,0,0,0,0,,0,0,0,0,,,2.0,1.6,1.6,1.6,,58,,2025
436,Dylan Drummond,ATL,WR,25,3,0,0,0,0,0,0,0,0,,0,3,3,18,6.0,0,0,0,0,,,2.0,4.8,4.8,3.3,,184,,2025
437,Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,0,0,0,7,13,1.86,0,2,2,9,4.5,0,0,0,0,,,2.0,4.2,4.2,3.2,,113,,2025
438,Quinn Ewers,MIA,QB,22,1,0,5,8,53,0,0,1,0,0.0,0,0,0,0,,0,2,0,0,,,2.0,2.1,2.1,2.1,,55,,2025
439,Tucker Fisk,LAC,TE,26,9,6,0,0,0,0,0,0,0,,0,4,2,19,9.5,0,0,0,0,,,2.0,3.9,3.9,2.9,,91,,2025
440,Tyler Goodson,IND,RB,25,6,0,0,0,0,0,0,5,12,2.4,0,3,2,8,4.0,0,0,0,0,,,2.0,4.0,4.0,3.0,,115,,2025
441,Roschon Johnson,CHI,RB,24,7,0,0,0,0,0,0,2,17,8.5,0,0,0,0,,0,0,0,0,,,2.0,1.7,1.7,1.7,,117,,2025
442,Tim Jones,2TM,WR,27,4,0,0,0,0,0,0,0,0,,0,1,1,15,15.0,0,0,0,0,,,2.0,2.5,2.5,2.0,,186,,2025
443,Lucas Krull,DEN,TE,27,3,3,0,0,0,0,0,0,0,,0,4,2,15,7.5,0,0,0,0,,,2.0,3.5,3.5,2.5,,93,,2025
444,Dylan Laube,LVR,RB,26,11,0,0,0,0,0,0,5,5,1.0,0,4,3,18,6.0,0,0,0,0,,,2.0,5.3,5.3,3.8,,112,,2025
445,Tay Martin,WAS,WR,28,3,0,0,0,0,0,0,0,0,,0,2,2,23,11.5,0,0,0,0,,,2.0,4.3,4.3,3.3,,180,,2025
446,David Moore,CAR,WR,30,4,2,0,0,0,0,0,1,12,12.0,0,1,1,5,5.0,0,0,0,0,,,2.0,2.7,2.7,2.2,,185,,2025
447,Tip Reiman,ARI,TE,24,4,3,0,0,0,0,0,0,0,,0,5,3,18,6.0,0,0,0,0,,,2.0,4.8,4.8,3.3,,92,,2025
448,Cooper Rush,BAL,QB,32,4,2,34,52,303,0,4,4,-4,-1.0,0,0,0,0,,0,1,1,0,,,2.0,1.7,9.7,5.7,,56,,2025
449,Trent Sherfield,DEN,WR,29,10,3,0,0,0,0,0,0,0,,0,4,3,21,7.0,0,0,0,0,,,2.0,5.1,5.1,3.6,,181,,2025
450,Cade Stover,HOU,TE,25,3,2,0,0,0,0,0,0,0,,0,6,4,22,5.5,0,0,0,0,,,2.0,6.2,6.2,4.2,,90,,2025
451,Mitchell Trubisky,BUF,QB,31,3,0,3,6,54,0,0,4,1,0.25,0,0,0,0,,0,0,0,0,,,2.0,2.3,2.3,2.3,,54,,2025
452,Jared Wayne,HOU,WR,25,1,1,0,0,0,0,0,0,0,,0,2,2,20,10.0,0,0,0,0,,,2.0,4.0,4.0,3.0,,183,,2025
453,Xavier Weaver,ARI,WR,25,6,1,0,0,0,0,0,0,0,,0,7,3,24,8.0,0,0,0,0,,,2.0,5.4,5.4,3.9,,179,,2025
454,Zach Wilson,MIA,QB,26,2,0,6,9,32,0,0,1,3,3.0,0,0,0,0,,0,0,0,0,,,2.0,1.6,1.6,1.6,,57,,2025
455,Jacardia Wright,SEA,RB,25,1,0,0,0,0,0,0,5,20,4.0,0,0,0,0,,0,0,0,0,,,2.0,2.0,2.0,2.0,,116,,2025
456,Andre Baccellia,ARI,WR,28,2,0,0,0,0,0,0,0,0,,0,1,1,5,5.0,0,0,0,0,,,1.0,1.5,1.5,1.0,,195,,2025
457,Alex Bachman,LVR,WR,29,8,0,0,0,0,0,0,0,0,,0,2,1,9,9.0,0,0,0,0,,,1.0,1.9,1.9,1.4,,189,,2025
458,Harrison Bryant,HOU,TE,27,8,3,0,0,0,0,0,0,0,,0,6,2,7,3.5,0,0,0,0,,,1.0,2.7,2.7,1.7,,98,,2025
459,Darius Cooper,PHI,WR,24,7,0,0,0,0,0,0,0,0,,0,2,2,7,3.5,0,0,0,0,,,1.0,2.7,2.7,1.7,,194,,2025
460,Josiah Deguara,ARI,TE,28,6,0,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,0,0,0,,,1.0,1.6,1.6,1.1,,100,,2025
461,Tai Felton,MIN,WR,22,11,0,0,0,0,0,0,0,0,,0,1,1,9,9.0,0,0,0,0,,,1.0,1.9,1.9,1.4,,190,,2025
462,Cam Grandy,CIN,TE,25,3,1,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,1,0,0,,,1.0,1.6,1.6,1.1,,101,,2025
463,Kylen Granson,PHI,TE,27,11,2,0,0,0,0,0,0,0,,0,4,3,10,3.33,0,0,0,0,,,1.0,4.0,4.0,2.5,,97,,2025
464,C.J. Ham,MIN,FB,32,5,0,0,0,0,0,0,0,0,,0,1,1,5,5.0,0,0,0,0,,,1.0,1.5,1.5,1.0,,124,,2025
465,Amar Johnson,LAC,RB,22,2,0,0,0,0,0,0,2,8,4.0,0,1,0,0,,0,0,0,0,,,1.0,0.8,0.8,0.8,,121,,2025
466,D'Ernest Johnson,2TM,RB,29,4,0,0,0,0,0,0,5,7,1.4,0,0,0,0,,0,0,0,0,,,1.0,0.7,0.7,0.7,,122,,2025
