Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
181,Jerry Jeudy,CLE,WR,26,11,11,0,0,0,0,0,0,0,,0,76,32,395,12.34,1,1,1,1,,,44.0,75.5,79.5,59.5,,66,,2025
182,Brian Robinson Jr.,SFO,RB,26,12,0,0,0,0,0,0,64,302,4.72,2,10,7,19,2.71,0,0,0,2,,,44.0,51.1,54.1,47.6,,53,,2025
183,T.J. Hockenson,MIN,TE,28,11,11,0,0,0,0,0,1,0,0.0,0,51,38,299,7.87,2,0,0,2,,,42.0,79.9,82.9,60.9,,25,,2025
184,Sterling Shepard,TAM,WR,32,11,1,0,0,0,0,0,4,19,4.75,0,50,37,361,9.76,1,1,1,1,,,42.0,79.0,83.0,60.5,,67,,2025
185,Jameis Winston,NYG,QB,31,2,2,37,65,567,2,2,7,23,3.29,1,1,1,33,33.0,1,1,1,2,,,42.0,43.3,49.3,44.8,,40,,2025
186,Blake Corum,LAR,RB,25,11,0,0,0,0,0,0,82,341,4.16,1,10,5,10,2.0,0,0,0,1,,,41.0,46.1,49.1,43.6,,54,,2025
187,Noah Fant,CIN,TE,28,10,5,0,0,0,0,0,0,0,,0,35,31,265,8.55,3,2,2,3,,,41.0,71.5,76.5,56.0,,26,,2025
188,Calvin Austin III,PIT,WR,26,9,7,0,0,0,0,0,0,0,,0,42,26,278,10.69,2,0,0,2,,,40.0,65.8,68.8,52.8,,70,,2025
189,Luke McCaffrey,WAS,WR,24,9,0,0,0,0,0,0,0,0,,0,15,11,203,18.45,3,0,0,3,1.0,,40.0,51.3,54.3,45.8,,68,,2025
190,Cade Otton,TAM,TE,26,11,11,0,0,0,0,0,0,0,,0,60,41,402,9.8,0,0,0,0,,,40.0,81.2,84.2,60.7,,27,,2025
191,Dylan Sampson,CLE,RB,21,11,1,0,0,0,0,0,38,89,2.34,0,28,23,195,8.48,2,0,0,2,,,40.0,63.4,66.4,51.9,,55,,2025
192,Tyler Shough,NOR,QB,26,5,3,81,126,829,3,3,15,33,2.2,0,0,0,0,,0,1,1,0,,,40.0,40.5,47.5,43.5,,41,,2025
193,Tyrod Taylor,NYJ,QB,36,4,2,60,97,601,4,4,19,99,5.21,0,0,0,0,,0,1,1,0,,,40.0,39.9,47.9,43.9,,42,,2025
194,Christian Watson,GNB,WR,26,5,5,0,0,0,0,0,0,0,,0,24,17,283,16.65,2,0,0,2,,,40.0,57.3,60.3,48.8,,69,,2025
195,Andrei Iosivas,CIN,WR,26,11,5,0,0,0,0,0,3,14,4.67,0,42,23,317,13.78,1,0,0,1,,,39.0,62.1,65.1,50.6,,71,,2025
196,Jeremy McNichols,WAS,RB,30,11,0,0,0,0,0,0,26,181,6.96,1,20,15,149,9.93,0,0,0,1,,,39.0,54.0,60.0,46.5,,56,,2025
197,Marvin Mims,DEN,WR,23,9,2,0,0,0,0,0,8,56,7.0,1,32,22,234,10.64,1,2,1,2,,,39.0,61.0,65.0,50.0,,73,,2025
198,Malik Nabers,NYG,WR,22,4,4,0,0,0,0,0,0,0,,0,35,18,271,15.06,2,0,0,2,,,39.0,57.1,60.1,48.1,,72,,2025
199,Luther Burden,CHI,WR,22,10,1,0,0,0,0,0,3,21,7.0,0,28,22,295,13.41,1,0,0,1,,,38.0,59.6,62.6,48.6,,74,,2025
200,Chigoziem Okonkwo,TEN,TE,26,11,8,0,0,0,0,0,0,0,,0,46,35,377,10.77,0,0,0,0,,,38.0,72.7,75.7,55.2,,28,,2025
201,Mason Taylor,NYJ,TE,21,11,10,0,0,0,0,0,0,0,,0,53,37,297,8.03,1,0,0,1,1.0,,38.0,74.7,77.7,56.2,,29,,2025
202,Ollie Gordon,MIA,RB,21,11,1,0,0,0,0,0,50,164,3.28,2,8,6,30,5.0,1,0,0,3,,,37.0,43.4,46.4,40.4,,57,,2025
203,Ty Johnson,BUF,RB,28,11,0,0,0,0,0,0,21,90,4.29,1,16,11,161,14.64,1,1,0,2,,,37.0,48.1,51.1,42.6,,58,,2025
204,Tyjae Spears,TEN,RB,24,7,0,0,0,0,0,0,37,159,4.3,1,24,22,148,6.73,0,0,0,1,,,37.0,58.7,64.7,47.7,,59,,2025
205,Travis Hunter,JAX,WR,22,7,4,0,0,0,0,0,1,0,0.0,0,45,28,298,10.64,1,1,0,1,,,36.0,63.8,66.8,49.8,,76,,2025
206,Darnell Mooney,ATL,WR,28,9,9,0,0,0,0,0,0,0,,0,45,19,298,15.68,1,1,0,1,,,36.0,54.8,57.8,45.3,,77,,2025
207,JuJu Smith-Schuster,KAN,WR,29,11,7,0,0,0,0,0,0,0,,0,32,26,299,11.5,1,0,0,1,,,36.0,61.9,64.9,48.9,,75,,2025
208,Darren Waller,MIA,TE,33,4,1,0,0,0,0,0,0,0,,0,12,10,117,11.7,4,0,0,4,,,36.0,45.7,48.7,40.7,,30,,2025
209,Emari Demercado,ARI,RB,26,9,0,0,0,0,0,0,31,241,7.77,0,12,8,64,8.0,1,1,1,1,,,35.0,42.5,46.5,38.5,,60,,2025
210,Ryan Flournoy,DAL,WR,26,11,2,0,0,0,0,0,4,25,6.25,0,26,17,200,11.76,2,0,0,2,,,35.0,51.5,54.5,43.0,,80,,2025
211,DeAndre Hopkins,BAL,WR,33,11,3,0,0,0,0,0,0,0,,0,26,15,232,15.47,2,0,0,2,,,35.0,50.2,53.2,42.7,,78,,2025
212,Darius Slayton,NYG,WR,28,9,8,0,0,0,0,0,0,0,,0,36,24,366,15.25,0,1,1,0,,,35.0,58.6,62.6,46.6,,79,,2025
213,Olamide Zaccheaus,CHI,WR,28,11,3,0,0,0,0,0,4,25,6.25,0,51,33,254,7.7,1,0,0,1,,,34.0,66.9,69.9,50.4,,81,,2025
214,Rashod Bateman,BAL,WR,26,9,8,0,0,0,0,0,0,0,,0,31,16,194,12.13,2,0,0,2,1.0,,33.0,49.4,52.4,41.4,,82,,2025
215,Evan Engram,DEN,TE,31,10,1,0,0,0,0,0,1,7,7.0,0,50,32,260,8.13,1,0,0,1,,,33.0,64.7,67.7,48.7,,31,,2025
216,Matthew Golden,GNB,WR,22,9,4,0,0,0,0,0,8,45,5.63,0,32,24,286,11.92,0,0,0,0,,,33.0,57.1,60.1,45.1,,83,,2025
217,Gunnar Helm,TEN,TE,23,11,6,0,0,0,0,0,0,0,,0,37,30,267,8.9,1,0,0,1,,,33.0,62.7,65.7,47.7,,32,,2025
218,Tyreek Hill,MIA,WR,31,4,4,0,0,0,0,0,0,0,,0,29,21,265,12.62,1,0,0,1,,,33.0,53.5,56.5,43.0,,85,,2025
219,Ricky Pearsall,SFO,WR,25,6,6,0,0,0,0,0,2,-2,-1.0,0,35,23,333,14.48,0,0,0,0,,,33.0,56.1,59.1,44.6,,84,,2025
220,Michael Carter,ARI,RB,26,7,2,0,0,0,0,0,45,135,3.0,1,22,17,129,7.59,0,0,0,1,,,32.0,49.4,55.4,40.9,,61,,2025
