Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
429,Justin Watson,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,4,3,30,10.00,0,0,0,0,,,3,6.0,6.0,4.5,,173,,WatsJu01
430,Charlie Woerner,ATL,TE,28,11,8,0,0,0,0,0,0,0,,0,6,5,33,6.60,0,0,0,0,,,3,8.3,8.3,5.8,,86,,WoerCh00
431,Rasheen Ali,BAL,RB,24,9,0,0,0,0,0,0,1,5,5.00,0,1,1,15,15.00,0,0,0,0,,,2,3.0,3.0,2.5,,114,,AlixRa00
432,Brenden Bates,2TM,TE,26,5,1,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,89,,BateBr00
433,Jake Bobo,SEA,WR,27,7,0,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,182,,BoboJa00
434,British Brooks,HOU,RB,26,9,2,0,0,0,0,0,4,15,3.75,0,0,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,118,,BrooBr01
435,Max Brosmer,MIN,QB,24,3,0,5,8,42,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6,,58,,BrosMa00
436,Dylan Drummond,ATL,WR,25,3,0,0,0,0,0,0,0,0,,0,3,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3,,184,,DrumDy00
437,Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,0,0,0,7,13,1.86,0,2,2,9,4.50,0,0,0,0,,,2,4.2,4.2,3.2,,113,,EdwaCl00
438,Quinn Ewers,MIA,QB,22,1,0,5,8,53,0,0,1,0,0.00,0,0,0,0,,0,2,0,0,,,2,2.1,2.1,2.1,,55,,EwerQu00
439,Tucker Fisk,LAC,TE,26,9,6,0,0,0,0,0,0,0,,0,4,2,19,9.50,0,0,0,0,,,2,3.9,3.9,2.9,,91,,FiskTu00
440,Tyler Goodson,IND,RB,25,6,0,0,0,0,0,0,5,12,2.40,0,3,2,8,4.00,0,0,0,0,,,2,4.0,4.0,3.0,,115,,GoodTy00
441,Roschon Johnson,CHI,RB,24,7,0,0,0,0,0,0,2,17,8.50,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,117,,JohnRo07
442,Tim Jones,2TM,WR,27,4,0,0,0,0,0,0,0,0,,0,1,1,15,15.00,0,0,0,0,,,2,2.5,2.5,2.0,,186,,JoneTi00
443,Lucas Krull,DEN,TE,27,3,3,0,0,0,0,0,0,0,,0,4,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,93,,KrulLu00
444,Dylan Laube,LVR,RB,26,11,0,0,0,0,0,0,5,5,1.00,0,4,3,18,6.00,0,0,0,0,,,2,5.3,5.3,3.8,,112,,LaubDy00
445,Tay Martin,WAS,WR,28,3,0,0,0,0,0,0,0,0,,0,2,2,23,11.50,0,0,0,0,,,2,4.3,4.3,3.3,,180,,MartTa00
446,David Moore,CAR,WR,30,4,2,0,0,0,0,0,1,12,12.00,0,1,1,5,5.00,0,0,0,0,,,2,2.7,2.7,2.2,,185,,MoorDa03
447,Tip Reiman,ARI,TE,24,4,3,0,0,0,0,0,0,0,,0,5,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3,,92,,ReimTi00
448,Cooper Rush,BAL,QB,32,4,2,34,52,303,0,4,4,-4,-1.00,0,0,0,0,,0,1,1,0,,,2,1.7,9.7,5.7,,56,,RushCo00
449,Trent Sherfield,DEN,WR,29,10,3,0,0,0,0,0,0,0,,0,4,3,21,7.00,0,0,0,0,,,2,5.1,5.1,3.6,,181,,SherTr00
450,Cade Stover,HOU,TE,25,3,2,0,0,0,0,0,0,0,,0,6,4,22,5.50,0,0,0,0,,,2,6.2,6.2,4.2,,90,,StovCa00
451,Mitchell Trubisky,BUF,QB,31,3,0,3,6,54,0,0,4,1,0.25,0,0,0,0,,0,0,0,0,,,2,2.3,2.3,2.3,,54,,TrubMi00
452,Jared Wayne,HOU,WR,25,1,1,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,183,,WaynJa01
453,Xavier Weaver,ARI,WR,25,6,1,0,0,0,0,0,0,0,,0,7,3,24,8.00,0,0,0,0,,,2,5.4,5.4,3.9,,179,,WeavXa00
454,Zach Wilson,MIA,QB,26,2,0,6,9,32,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6,,57,,WilsZa00
455,Jacardia Wright,SEA,RB,25,1,0,0,0,0,0,0,5,20,4.00,0,0,0,0,,0,0,0,0,,,2,2.0,2.0,2.0,,116,,WrigJa05
456,Andre Baccellia,ARI,WR,28,2,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,195,,BaccAn00
457,Alex Bachman,LVR,WR,29,8,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,189,,BachAl00
458,Harrison Bryant,HOU,TE,27,8,3,0,0,0,0,0,0,0,,0,6,2,7,3.50,0,0,0,0,,,1,2.7,2.7,1.7,,98,,BryaHa00
459,Darius Cooper,PHI,WR,24,7,0,0,0,0,0,0,0,0,,0,2,2,7,3.50,0,0,0,0,,,1,2.7,2.7,1.7,,194,,CoopDa01
460,Josiah Deguara,ARI,TE,28,6,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,100,,DeguJo00
461,Tai Felton,MIN,WR,22,11,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,190,,FeltTa00
462,Cam Grandy,CIN,TE,25,3,1,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,1,0,0,,,1,1.6,1.6,1.1,,101,,GranCa00
463,Kylen Granson,PHI,TE,27,11,2,0,0,0,0,0,0,0,,0,4,3,10,3.33,0,0,0,0,,,1,4.0,4.0,2.5,,97,,GranKy00
464,C.J. Ham,MIN,FB,32,5,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,124,,HamxC.00
465,Amar Johnson,LAC,RB,22,2,0,0,0,0,0,0,2,8,4.00,0,1,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,121,,JohnAm00
466,D'Ernest Johnson,2TM,RB,29,4,0,0,0,0,0,0,5,7,1.40,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,122,,JohnDE04
467,Mason Kinsey,TEN,WR,27,5,0,0,0,0,0,0,0,0,,0,3,1,14,14.00,0,0,0,0,,,1,2.4,2.4,1.9,,187,,KinsMa00
468,Chris Manhertz,NYG,TE,33,12,2,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,99,,ManhCh00
469,Scott Miller,PIT,WR,28,8,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,191,,MillSc01
470,Quintin Morris,JAX,TE,26,8,2,0,0,0,0,0,0,0,,0,3,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,96,,MorrQu00
471,Bryce Oliver,TEN,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,193,,OlivBr02
472,Dante Pettis,NOR,WR,30,2,0,0,0,0,0,0,0,0,,0,1,1,14,14.00,0,0,0,0,,,1,2.4,2.4,1.9,,188,,PettDa00
473,Anthony Richardson,IND,QB,23,2,0,1,2,9,0,0,4,-1,-0.25,0,1,1,9,9.00,0,0,0,0,,,1,2.2,2.2,1.7,,59,,RichAn03
474,Eric Saubert,SEA,TE,31,7,1,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,94,,SaubEr00
475,Jacob Saylors,DET,RB,24,10,0,0,0,0,0,0,2,11,5.50,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,119,,SaylJa00
476,Durham Smythe,CHI,TE,30,11,1,0,0,0,0,0,0,0,,0,4,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,95,,SmytDu00
477,Josh Williams,TAM,RB,25,3,0,0,0,0,0,0,4,11,2.75,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,120,,WillJo011
478,Cedrick Wilson Jr.,MIA,WR,30,4,0,0,0,0,0,0,0,0,,0,2,2,9,4.50,0,0,0,0,,,1,2.9,2.9,1.9,,192,,WilsCe01
479,Owen Wright,TAM,RB,26,3,0,0,0,0,0,0,3,6,2.00,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,123,,WrigOw00
480,Ben Yurosek,MIN,TE,23,8,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,102,,YuroBe00
481,Jamal Agnew,ATL,WR,30,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,0,,,,,,,,199,,AgneJa00
482,Kyle Allen,DET,QB,29,3,0,0,2,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,71,,AlleKy00
483,Kevin Austin,NOR,WR,25,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,200,,AustKe00
484,Michael Bandy,DEN,WR,28,2,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,1,1,0,,,,0.6,1.6,0.1,,227,,BandMi00
485,Ulysses Bentley,IND,RB,25,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,130,,BentUl00
486,Gary Brightwell,CIN,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,BrigGa00
487,Jalen Brooks,DAL,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,201,,BrooJa03
488,Ja'Corey Brooks,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,202,,BrooJa04
489,Jason Brownlee,KAN,WR,26,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,203,,BrowJa07
490,Pharaoh Brown,ARI,TE,31,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,109,,BrowPh01
491,Dalen Cambre,NYG,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,204,,CambDa00
492,Dalevon Campbell,CAR,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,205,,CampDa01
493,Parris Campbell,DAL,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,206,,CampPa00
494,Stephen Carlson,CHI,TE,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,110,,CarlSt00
495,DeAndre Carter,CLE,WR,32,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,207,,CartDe02
496,Ty Chandler,MIN,RB,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,ChanTy01
497,Dan Chisena,CAR,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,208,,ChisDa00
498,Efton Chism,NWE,WR,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,,ChisEf00
499,Devin Culp,TAM,TE,25,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,111,,CulpDe00
500,DeeJay Dallas,CAR,RB,27,3,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,133,,DallDe00
501,Kaden Davis,CLE,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,210,,DaviKa02
502,Joshua Dobbs,NWE,QB,30,2,0,1,2,12,0,0,5,-4,-0.80,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,62,,DobbJo00
503,Payne Durham,TAM,TE,25,11,7,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,112,,DurhPa00
504,Devin Duvernay,CHI,WR,28,11,0,0,0,0,0,0,0,0,,0,3,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,197,,DuveDe00
505,Ross Dwelley,DET,TE,30,9,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,113,,DwelRo00
506,Chase Edmonds,WAS,RB,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,EdmoCh00
507,Audric Estime,NOR,RB,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,EstiAu00
508,Princeton Fant,DAL,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,,FantPr00
509,Simi Fehoko,ARI,WR,28,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,211,,FehoSi00
510,Thomas Fidone,NYG,TE,23,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,,FidoTh00
511,Anthony Firkser,DET,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,,FirkAn00
512,Feleipe Franks,ATL,TE,28,11,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,103,,FranFe00
513,Russell Gage,SFO,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,212,,GageRu00
514,Jimmy Garoppolo,LAR,QB,34,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,70,,GaroJi00
515,Reggie Gilliam,BUF,FB,28,11,2,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,128,,GillRe00
516,Anthony Gould,IND,WR,24,9,1,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,196,,GoulAn00
517,Eric Gray,NYG,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,GrayEr01
518,Isaac Guerendo,SFO,RB,25,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,,GuerIs00
519,Khalil Herbert,NYJ,RB,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,HerbKh00
520,Nyheim Hines,LAC,RB,29,3,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,155,,HineNy00
521,Travis Homer,CHI,RB,27,5,0,0,0,0,0,0,1,-2,-2.00,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,156,,HomeTr00
522,Jarquez Hunter,LAR,RB,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,139,,HuntJa03
523,Shedrick Jackson,LVR,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,213,,JackSh01
524,Jermar Jefferson,ARI,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,140,,JeffJe00
525,E.J. Jenkins,PHI,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,,JenkEJ00
526,Jakob Johnson,HOU,FB,31,5,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,141,,JohnJa12
527,Josh Johnson,WAS,QB,39,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,64,,JohnJo05
528,Velus Jones Jr.,NOR,RB,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,142,,JoneVe00
529,Nikola Kalinic,CHI,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,,KaliNi00
530,Nick Kallerup,SEA,TE,24,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,119,,KallNi00
531,Ko Kieft,TAM,TE,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,KiefKo00
532,KeAndre Lambert-Smith,LAC,WR,24,6,1,0,0,0,0,0,0,0,,0,4,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,198,,LambKe01
533,Cameron Latu,PHI,TE,25,10,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,LatuCa01
534,Keleki Latu,BUF,TE,23,2,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,104,,LatuKe00
535,Riley Leonard,IND,QB,23,1,0,0,2,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,60,,LeonRi02
536,Marcedes Lewis,DEN,TE,41,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,LewiMa00
537,Drew Lock,SEA,QB,29,3,0,2,3,15,0,0,5,-5,-1.00,0,0,0,0,,0,1,0,0,,,,0.1,0.1,0.1,,61,,LockDr00
538,Dominic Lovett,DET,WR,23,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,,LoveDo00
539,Will Mallory,IND,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,MallWi00
540,Adrian Martinez,SFO,QB,25,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,68,,MartAd00
541,Moliki Matavao,NOR,TE,22,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,MataMo00
542,Tanner McKee,PHI,QB,25,1,0,0,0,0,0,0,3,-2,-0.67,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,69,,McKeTa01
543,Jackson Meeks,DET,WR,22,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,,MeekJa00
544,Kendall Milton,CIN,RB,23,1,0,0,0,0,0,0,2,2,1.00,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,129,,MiltKe01
545,Jordan Mims,TEN,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,,MimsJo00
546,Jonathan Mingo,DAL,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,216,,MingJo00
547,Elijah Mitchell,KAN,RB,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,144,,MitcEl00
548,Jalen Moreno-Cropper,DAL,WR,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,217,,MoreJa01
549,Kalel Mullings,TEN,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,145,,MullKa00
550,Nick Mullens,JAX,QB,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,65,,MullNi00
551,Lew Nichols,PIT,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,146,,NichLe00
552,Robbie Ouzts,SEA,FB,23,7,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,147,,OuztRo00
553,Brennan Presley,LAR,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,218,,PresBr00
554,Teagan Quitoriano,ATL,TE,25,11,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,QuitTe00
555,Craig Reynolds,DET,RB,29,7,0,0,0,0,0,0,3,4,1.33,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,125,,ReynCr00
556,Patrick Ricard,BAL,FB,31,5,1,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,127,,RicaPa00
557,Ronnie Rivers,LAR,RB,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,148,,RiveRo01
558,Jalen Royals,KAN,WR,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,219,,RoyaJa00
559,Hayden Rucci,MIA,TE,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,RuccHa00
560,Carter Runyon,LVR,TE,24,7,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,107,,RunyCa00
561,Brady Russell,SEA,TE,27,11,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,RussBr00
562,Brett Rypien,CIN,QB,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,63,,RypiBr00
563,Cody Schrader,LAR,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,149,,SchrCo00
564,Trey Sermon,PIT,RB,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,150,,SermTr00
565,Justin Shorter,LVR,TE,25,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,ShorJu00
566,Ben Sims,2TM,TE,25,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,129,,SimsBe00
567,Kedon Slovis,ARI,QB,24,2,0,1,2,-2,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,66,,SlovKe00
568,Stone Smartt,NYJ,TE,27,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,SmarSt00
569,Brandon Smith,NYJ,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,,SmitBr07
570,Jarrett Stidham,DEN,QB,29,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,67,,StidJa00
571,Deven Thompkins,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,221,,ThomDe07
572,Robert Tonyan,KAN,TE,31,11,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,108,,TonyRo00
573,Laquon Treadwell,IND,WR,30,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,,TreaLa00
574,Malik Turner,SFO,WR,29,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,223,,TurnMa00
575,Sione Vaki,DET,RB,24,5,0,0,0,0,0,0,1,4,4.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,126,,VakiSi00
576,Nick Vannett,MIN,TE,32,4,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,VannNi00
577,Travis Vokolek,ARI,TE,27,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,VokoTr00
578,Jahdae Walker,CHI,WR,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,,WalkJa03
579,Carlos Washington,ATL,RB,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,151,,WashCa00
580,Treyton Welch,NOR,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,WelcTr00
581,Jack Westover,NWE,FB,26,12,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,152,,WestJa01
582,Blake Whiteheart,CLE,TE,25,11,2,0,0,0,0,0,0,0,,0,3,2,4,2.00,0,1,0,0,,,,2.4,2.4,1.4,,105,,WhitBl01
583,Ricky White,SEA,WR,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,225,,WhitRi01
584,Avery Williams,NYJ,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,,WillAv02
585,Brayden Willis,SFO,TE,26,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,134,,WillBr06
586,Trayveon Williams,LAC,RB,28,2,0,0,0,0,0,0,3,-1,-0.33,0,1,1,0,0.00,0,0,0,0,,,,0.9,0.9,0.4,,154,,WillTr06
587,Jeff Wilson,MIA,RB,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,153,,WilsJe01
588,Jelani Woods,NYJ,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,WoodJe01
589,Colson Yankoff,WAS,TE,25,9,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,106,,YankCo00
590,Shane Zylstra,DET,TE,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,ZylsSh00
591,Derius Davis,LAC,WR,25,8,0,0,0,0,0,0,2,5,2.50,0,2,1,3,3.00,0,1,1,0,,,-1,-0.2,0.8,-0.7,,229,,DaviDe02
592,Gardner Minshew II,KAN,QB,29,2,0,0,0,0,0,0,5,-6,-1.20,0,0,0,0,,0,0,0,0,,,-1,-0.6,-0.6,-0.6,,72,,MinsGa00
593,Tahj Washington,MIA,WR,24,4,1,0,0,0,0,0,0,0,,0,2,1,11,11.00,0,1,1,0,,,-1,0.1,1.1,-0.4,,228,,WashTa00
594,Mecole Hardman,BUF,WR,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0,,230,,HardMe00
595,Jalen Milroe,SEA,QB,23,3,0,0,0,0,0,0,3,4,1.33,0,0,0,0,,0,1,1,0,,,-2,-1.6,-0.6,-1.6,,73,,MilrJa00
596,Kenny Pickett,LVR,QB,27,2,0,2,3,8,0,0,1,0,0.00,0,0,0,0,,0,1,1,0,,,-2,-1.7,-0.7,-1.7,,74,,PickKe00
597,LaJohntay Wester,BAL,WR,23,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,1,0,,,-2,-2.0,-1.0,-2.0,,231,,WestLa01
598,Ke'Shawn Williams,PIT,WR,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,1,0,,,-2,-2.0,-1.0,-2.0,,232,,WillKe08
599,Xavier Gipson,2TM,WR,24,6,0,0,0,0,0,0,0,0,,0,2,2,6,3.00,0,3,2,0,,,-3,-1.4,0.6,-2.4,,233,,GipsXa00
600,Myles Price,MIN,WR,24,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,4,3,0,,,-6,-6.0,-3.0,-6.0,,234,,PricMy00
